Day,Thermodepth 12:00 AM
1,6.0
2,8.0
3,8.0
4,8.0
5,8.0
6,4.0
7,2.0
8,8.0
9,4.0
10,8.0
11,8.0
12,6.0
13,6.0
14,6.0
15,8.0
16,6.0
17,6.0
18,8.0
19,8.0
20,6.0
21,8.0
22,8.0
23,8.0
24,6.0
25,8.0
26,8.0
27,6.0
28,8.0
29,6.0
30,8.0
31,6.0
