Day,Thermodepth 12:00 PM,Day,Thermodepth 12:00 AM
1,8.0,1,6.0
2,8.0,2,8.0
3,8.0,3,8.0
4,8.0,4,8.0
5,2.0,5,8.0
6,4.0,6,4.0
7,8.0,7,2.0
8,6.0,8,8.0
9,8.0,9,4.0
10,6.0,10,8.0
11,6.0,11,8.0
12,6.0,12,6.0
13,8.0,13,6.0
14,6.0,14,6.0
15,8.0,15,8.0
16,8.0,16,6.0
17,6.0,17,6.0
18,6.0,18,8.0
19,6.0,19,8.0
20,8.0,20,6.0
21,8.0,21,8.0
22,6.0,22,8.0
23,6.0,23,8.0
24,6.0,24,6.0
25,8.0,25,8.0
26,8.0,26,8.0
27,8.0,27,6.0
28,6.0,28,8.0
29,8.0,29,6.0
30,8.0,30,8.0
31,8.0,31,6.0
